density,name,color,hardness,luster,streak,color3
2.87,Whitmoreite,brown,3,Vitreous - Adamantine,,
2.88,Prehnite,colorless,6-6.5,Vitreous - Pearly,,
2.88,Hurlbutite,colorless,6,Vitreous - Greasy,,
2.88,Vinogradovite,colorless,4,Vitreous (Glassy),,
2.88,Chromphyllite !,"green, emerald",3,Vitreous (Glassy),,
2.88,Ferrisymplesite,"brown, yellow",2.5,Resinous,,
2.88,Grossite,colorless,-,Vitreous (Glassy),,
2.88,Labuntsovite-Mg !,colorless,5,Vitreous (Glassy),,
2.88,Labyrinthite !,"pink, vivid",-,Vitreous (Glassy),,
2.88,Neskevaaraite-Fe !,"brown, pale",5,Vitreous (Glassy),,
2.88,Organovaite-Mn !,"brown, rose",5,Vitreous (Glassy),,
2.88,Organovaite-Zn !,pink,5,Vitreous (Glassy),,
2.88,Paratsepinite-Ba !,brown,5,Vitreous (Glassy),,
2.88,Petarasite,"yellow, brownish",5-5.5,Vitreous (Glassy),,
2.88,Tsepinite-K !,"brown, light",5,Vitreous (Glassy),,
2.88,Yavapaiite,"pink, light",2.5-3,Vitreous (Glassy),,
2.88,Zunyite,colorless,7,Vitreous (Glassy),,
2.89,Miserite,"pink, lilac",5.5-6,Vitreous - Pearly,,
2.89,Prosopite,white,4-5,Vitreous - Dull,,
2.89,Xanthoxenite,"yellow, brownish",2.5,Earthy (Dull),,
2.89,Agrellite,white,5.5,Vitreous - Pearly,,
2.89,Fluoborite,colorless,3.5,Vitreous - Silky,,
2.89,Golyshevite !,"brown, dark reddish",5.5,Vitreous (Glassy),,
2.89,Hydroxylborite !,colorless,3.5,Vitreous (Glassy),,
2.89,Manandonite,colorless,2.5-3.5,Pearly,,
2.90,Hochelagaite,white,4,Vitreous (Glassy),,
2.90,Alsakharovite-Zn !,white,5,Vitreous (Glassy),,
2.90,Beraunite,green,2,Vitreous - Dull,,
2.90,Boracite,"green, blue",7,Vitreous - Adamantine,,
2.90,Carpholite,"yellow, straw",5.5,Silky,,
2.90,Chromceladonite !,"green, emerald",1-2,Vitreous - Silky,,
2.90,Datolite,brown,5.5,Vitreous (Glassy),,
2.90,Earlshannonite,yellow,3-4,Vitreous (Glassy),,
2.90,Eudialyte,"red, pinkish",5-5.5,Vitreous (Glassy),,
2.90,Kukisvumite,colorless,5.5-6,Vitreous (Glassy),,
2.90,Malinkoite !,white,5,Vitreous (Glassy),,
2.90,Mogovidite !,"brown, dark reddish",5.5,Vitreous (Glassy),,
2.90,Pharmacosiderite,"green, olive",2.5,Adamantine - Resinous,,
2.90,Phosphofibrite,yellow,4,Vitreous (Glassy),,
2.90,Pollucite,colorless,6.5,Vitreous - Dull,,
2.90,Sidorenkite,"pink, light",2,Vitreous - Pearly,,
2.90,Sogdianite,violet,7,Vitreous (Glassy),,
2.90,Sorensenite,colorless,5.5,Vitreous - Silky,,
2.90,Tainiolite,brownish,2.5-3,Vitreous (Glassy),,
2.90,Zirsinalite,colorless,5,Vitreous (Glassy),,
2.90,Braitschite-(Ce),colorless,-,Vitreous (Glassy),,
2.91,Rosenhahnite,"white, beige",4.5-5,Vitreous (Glassy),,
2.91,Katayamalite,white,3.5-4,Vitreous - Pearly,,
2.91,Moskvinite-(Y) !,white,5,Vitreous (Glassy),,
2.91,Poldervaartite,colorless,5,Vitreous (Glassy),,
2.91,Reederite-(Y) !,yellow,3-3.5,Vitreous (Glassy),,
2.91,Suanite,"white, gray",5.5,Silky - Pearly,,
2.92,Baratovite,"white, pearl",3.5,Vitreous - Pearly,,
2.92,Darapiosite,blue,5,Vitreous (Glassy),,
2.92,Faustite,"green, apple",5.5,Earthy (Dull),,
2.92,Gatumbaite,white,4-5,Pearly,,
2.92,Isoclasite,colorless,1.5,Vitreous - Pearly,,
2.92,Karnasurtite-(Ce),yellow,2,Greasy (Oily),,
2.92,Lokkaite-(Y),"white, snow",-,Vitreous (Glassy),,
2.92,Natrobetpakdalite,"yellow, lemon",-,Earthy (Dull),,
2.92,Rauvite,"black, bluish",-,Adamantine - Waxy,,
2.93,Monetite,colorless,3.5,Vitreous (Glassy),,
2.93,Aragonite,colorless,3.5-4,Vitreous (Glassy),,
2.93,Bostwickite,"red, dark",1,Vitreous - Metallic,,
2.93,Burgessite !,"pink, purplish",3,Adamantine,,
2.93,Coesite,colorless,7.5,Vitreous (Glassy),,
2.93,Eakerite,colorless,5.5,Vitreous (Glassy),,
2.93,Ferroaluminoceladonite !,"green, dark bluish",2-2.5,Earthy (Dull),,
2.93,Greifensteinite !,"green, dark olive",4.5,Vitreous (Glassy),,
2.93,Imandrite,"yellow, honey",5-5.5,Vitreous (Glassy),,
2.93,Latiumite,white,5.5-6,Vitreous (Glassy),,
2.93,Mandarinoite,"white, greenish",2.5,Vitreous - Greasy,,
2.93,Minehillite,colorless,4,Vitreous - Pearly,,
2.94,Roweite,"brown, light",5,Vitreous (Glassy),,
2.94,Sarcolite,"pink, flesh",6,Vitreous (Glassy),,
2.94,Aluminobarroisite !,,5-6,Vitreous (Glassy),,
2.94,Aminoffite,colorless,5.5,Vitreous (Glassy),,
2.94,Chudobaite,pink,2.5-3,Vitreous (Glassy),,
2.94,Dellaite,colorless,-,Vitreous (Glassy),,
2.94,Gainesite,blue,4,Vitreous (Glassy),,
2.94,Grantsite,"black, green",1-2,Silky,,
2.94,Holtedahlite,colorless,4.5-5,Vitreous (Glassy),,
2.94,Hydroxylherderite,blue,5-5.5,Vitreous (Glassy),,
2.94,Ktenasite,blue,2-2.5,Vitreous (Glassy),,
2.94,Labuntsovite-Fe !,orange,5,Vitreous (Glassy),,
2.94,Maricopaite,white,1-1.5,Vitreous - Silky,,
2.94,Masutomilite,"pink, purple",2.5,Vitreous - Pearly,,
2.94,Meurigite-Na !,cream,3,Silky,,
2.94,Selwynite,"blue, deep purplish",4,Vitreous (Glassy),,
2.94,Spodiosite ?,gray,5,Earthy (Dull),,
2.94,Akermanite,colorless,5-6,Vitreous - Resinous,,
2.95,Leucophosphite,brown,3.5,Vitreous - Dull,,
2.95,Collinsite,colorless,3-3.5,Silky,,
2.95,Gorgeyite,colorless,3.5,Vitreous (Glassy),,
2.95,Haidingerite,colorless,2-2.5,Vitreous - Adamantine,,
2.95,Leightonite,"green, blue",3,Vitreous (Glassy),,
2.95,Liroconite,"blue, light",2-2.5,Vitreous - Resinous,,
2.95,Mapimite,blue,3,Vitreous (Glassy),,
2.95,Melilite,white,5-5.5,Vitreous - Greasy,,
2.95,Metaswitzerite,brown,2.5,Pearly,,
2.95,Panethite,"yellow, brownish",-,Vitreous (Glassy),,
2.95,Raslakite !,"red, brownish",5,Vitreous (Glassy),,
2.95,Steacyite,brown,5,Vitreous - Dull,,
2.95,Sterlinghillite,white,3,Silky - Pearly,,
2.95,Stronalsite,white,6.5,Vitreous (Glassy),,
2.95,Ternovite !,white,3,Adamantine - Silky,,
2.95,Vuoriyarvite-K !,white,4.5,Vitreous (Glassy),,
2.95,Amakinite,"green, yellow",3.5-4,Pearly,,
2.96,Labuntsovite-Mn !,"yellow, brownish",6,Greasy (Oily),,
2.96,Harkerite,colorless,-,Vitreous (Glassy),,
2.96,Ajoite,"green, blue",-,Vitreous (Glassy),,
2.96,Cebollite,colorless,5,Vitreous - Dull,,
2.96,Dresserite,white,2.5-3,Vitreous - Silky,,
2.96,Dusmatovite,blue,4.5,Vitreous (Glassy),,
2.96,Lepkhenelmite-Zn !,"brown, pale",5,Vitreous (Glassy),,
2.96,Leucophanite,white,4,Vitreous (Glassy),,
2.96,Meurigite-K !,white,3,Silky,,
2.96,Numanoite !,colorless,4.5,Vitreous (Glassy),,
2.96,Odintsovite,colorless,5-5.5,Vitreous (Glassy),,
2.96,Preiswerkite,"white, greenish",2.5,Vitreous - Pearly,,
2.96,Ternesite !,colorless,4.5,Vitreous (Glassy),,
2.96,Weberite,greenish,3.5,Vitreous (Glassy),,
2.96,Winchite,"blue, cobalt",5.5,Vitreous (Glassy),,
2.96,Morinite,colorless,4-4.5,Vitreous - Greasy,,
2.97,Anhydrite,colorless,3.5,Vitreous - Pearly,,
2.97,Althausite,gray,3.5,Vitreous (Glassy),,
2.97,Pezzottaite !,"red, raspberry",8,Vitreous (Glassy),,
2.97,Phosinaite-(Ce) !,colorless,3.5,Vitreous (Glassy),,
2.97,Roscoelite,"green, brown",2.5,Pearly,,
2.97,Sincosite,green,1-2,Vitreous - Metallic,,
2.97,Vlasovite,colorless,6,Vitreous - Greasy,,
2.97,Voronkovite !,"brown, light",5,Vitreous (Glassy),,
2.97,Melkovite,"yellow, brownish",3,Earthy (Dull),,
2.98,Cryolite,"black, brownish",2.5-3,Vitreous - Greasy,,
2.98,Grandidierite,"green, bluish",7.5,Vitreous (Glassy),,
2.98,Bementite,brown,6,Vitreous (Glassy),,
2.98,Brannockite,colorless,5-6,Vitreous (Glassy),,
2.98,Brazilianite,colorless,5.5,Vitreous (Glassy),,
2.98,Bykovaite !,"yellow, creamy",3,Silky,,
2.98,Mcgillite,"pink, light",5,Pearly,,
2.98,Pachnolite,colorless,3,Vitreous - Greasy,,
2.98,Rankinite,colorless,5.5,Vitreous (Glassy),,
2.98,Symplesite,blue,2.5,Vitreous - Pearly,,
2.98,Thomsenolite,colorless,2,Vitreous - Greasy,,
2.98,Ephesite,"pink, brownish",3.5-4.5,Vitreous - Pearly,,
2.99,Gehlenite,brown,5-6,Vitreous - Greasy,,
2.99,Hsianghualite,white,6.5,Vitreous (Glassy),,
2.99,Phenakite,colorless,7.5-8,Vitreous (Glassy),,
2.99,Caryochroite !,"brown, hazel",2.5,Waxy,,
2.99,Jeffreyite,colorless,5,Vitreous (Glassy),,
2.99,Kurgantaite !,white,6-6.5,Vitreous (Glassy),,
3.00,Danburite,colorless,7,Vitreous - Greasy,,
3.00,Elpasolite,colorless,2.5,Vitreous - Greasy,,
3.00,Akaganeite,brown,-,Adamantine - Metallic,,
3.00,Bityite,"white, brown",5.5,Vitreous (Glassy),,
3.00,Brianite,colorless,4-5,Vitreous (Glassy),,
3.00,Bussyite-(Ce) !,"orange, pale pinkish",-,Vitreous (Glassy),,
3.00,Campigliaite,"blue, light",-,Vitreous (Glassy),,
3.00,Celadonite,"green, gray",2,Earthy (Dull),,
3.00,Clinoholmquistite ?,"gray, blue",5-6,Vitreous (Glassy),,
3.00,Coombsite !,brown,-,Vitreous (Glassy),,
3.00,Fluoro-sodic-pedrizite !,"blue, pale",5-6,Vitreous (Glassy),,
3.00,Greenalite,"green, blue",2.5,Earthy (Dull),,
3.00,Herderite,white,5,Vitreous (Glassy),,
3.00,Hopeite,colorless,3,Vitreous (Glassy),,
3.00,Koashvite,"yellow, brownish",6,Vitreous (Glassy),,
3.00,Magnesite,colorless,4,Vitreous (Glassy),,
3.00,Monsmedite ?,"green, dark",2,Resinous,,
3.00,Orientite,brown,4-5,Vitreous (Glassy),,
3.00,Orthoserpierite,"green, pale blue",-,Vitreous (Glassy),,
3.00,Parakuzmenkoite-Fe !,orange,5,Vitreous (Glassy),,
3.00,Phosphoellenbergerite !,blue,6.5,Vitreous (Glassy),,
3.00,Rossmanite !,pink,7,Vitreous (Glassy),,
3.00,Schlossmacherite,"green, gray",3-4,Vitreous (Glassy),,
3.00,Siderophyllite,"green, blue",2.5,Vitreous - Dull,,
3.00,Spurrite,gray,5,Vitreous (Glassy),,
3.00,Wallkilldellite-(Fe) !,"yellow, brownish",2-3,Vitreous - Resinous,,
3.00,Wawayandaite,colorless,1,Pearly,,
3.00,Xiangjiangite,yellow,1-2,Silky,,
3.00,Zinnwaldite,"brown, light",3.5-4,Vitreous - Pearly,,
3.01,Cascandite,"pink, light",4.5-5.5,Vitreous (Glassy),,
3.01,Chladniite,colorless,4,Vitreous - Resinous,,
3.01,Gonyerite,"brown, dark",2.5,Pearly,,
3.01,Minnesotaite,"green, pale",1.5-2,Pearly,,
3.01,Nefedovite,colorless,4.5,Vitreous (Glassy),,
3.01,Olenite !,"pink, light",7,Vitreous - Greasy,,
3.01,Woodhouseite,colorless,4.5,Vitreous - Pearly,,
3.02,Betpakdalite,"yellow, bright lemon",3,Vitreous - Waxy,,
3.02,Ogdensburgite,"red, brownish",2,Resinous,,
3.02,Heneuite,"violet, bluish",5,Vitreous (Glassy),,
3.02,Bromellite,white,9,Vitreous (Glassy),,
3.02,Meliphanite,colorless,5-5.5,Vitreous (Glassy),,
3.02,Ammoniojarosite,yellow,3.5-4.5,Earthy (Dull),,
3.02,Arthurite,"green, apple",3-4,Vitreous (Glassy),,
3.02,Clinojimthompsonite,colorless,2-2.5,Silky - Pearly,,
3.02,Ellestadite-(OH),"pink, light",4.5,Vitreous (Glassy),,
3.02,Hubeite !,"brown, dark",5.5,Vitreous (Glassy),,
3.02,Kurchatovite,"gray, light",4.5,Vitreous (Glassy),,
3.02,Liddicoatite !,blue,7.5,Vitreous (Glassy),,
3.02,Manganolangbeinite,pink,2.5-3,Vitreous (Glassy),,
3.02,Sieleckiite,"blue, sky",3,Pearly,,
3.02,Thorosteenstrupine,"brown, dark",4,Vitreous - Greasy,,
3.03,Montebrasite ?,bluish,5.5-6,Vitreous - Greasy,,
3.03,Szmikite,"white, brown",1.5,Vitreous (Glassy),,
3.03,Edenite,"green, bluish",6,Vitreous (Glassy),,
3.03,Avdoninite !,green,3,Vitreous (Glassy),,
3.03,Barahonaite-(Fe) !,"yellow, greenish",-,Vitreous (Glassy),,
3.03,Berthierine,"green, brown",2.5,Pearly,,
3.03,Caysichite-(Y),colorless,4.5,Vitreous (Glassy),,
3.03,Gugiaite,colorless,3-4,Vitreous (Glassy),,
3.03,Jasmundite,"green, brownish",5,Resinous,,
3.03,Jimthompsonite,colorless,2-2.5,Silky - Pearly,,
3.03,Lemmleinite-Ba !,"orange, bright",-,Vitreous (Glassy),,
3.03,Neighborite,colorless,4.5,Vitreous (Glassy),,
3.03,Sobolevite,brown,4.5-5,Resinous,,
3.03,Balangeroite,"yellow, brownish",-,Vitreous - Greasy,,
3.03,Mansfieldite,white,3.5-4,Vitreous (Glassy),,
3.04,Boehmite,white,3,Vitreous - Pearly,,
3.04,Bokite,black,3,Metallic - Dull,,
3.04,George-ericksenite !,"yellow, pale",3-4,Vitreous (Glassy),,
3.04,Margarite,white,4,Pearly,,
3.04,Actinolite,green,5.5,Vitreous (Glassy),,
3.04,Ferrocarpholite,"green, gray",5.5,Silky,,
3.04,Kidwellite,"yellow, greenish",3,Silky,,
3.04,Kotoite,colorless,6.5,Vitreous (Glassy),,
3.04,Natromontebrasite ?,white,5.5,Vitreous - Greasy,,
3.04,Sainfeldite,colorless,4,Vitreous (Glassy),,
3.04,Werdingite,"yellow, brownish",7,Vitreous (Glassy),,
3.04,Euclase,blue,7.5,Vitreous (Glassy),,
3.05,Amblygonite,white,5.5-6,Vitreous - Pearly,,
3.05,Leucosphenite,colorless,6-6.5,Vitreous (Glassy),,
3.05,Ankerite,brown,3.5-4,Vitreous (Glassy),,
3.05,Annabergite,"green, apple",2,Pearly,,
3.05,Clintonite,colorless,4-5,Pearly,,
3.05,Comblainite,blue,2,Pearly,,
3.05,Elbaite !,blue,7.5,Vitreous (Glassy),,
3.05,Ellestadite-(F),blue,4.5,Vitreous - Greasy,,
3.05,Ferroceladonite !,"green, dark bluish",2-2.5,Earthy (Dull),,
3.05,Ferro-edenite,green,5-6,Vitreous (Glassy),,
3.05,Fluorocannilloite !,"gray, greenish",6,Vitreous (Glassy),,
3.05,Geigerite,red,3,Vitreous - Pearly,,
3.05,Georgbarsanovite !,"green, yellowish",5,Vitreous (Glassy),,
3.05,Lazulite,blue,5-6,Vitreous (Glassy),,
3.05,Mullite,colorless,6-7,Vitreous (Glassy),,
3.05,Olmiite !,"pink, reddish",5-5.5,Vitreous (Glassy),,
3.05,Simmonsite !,"cream, pale buff",2.5-3,Greasy (Oily),,
3.05,Szomolnokite,bluish,2.5,Vitreous (Glassy),,
3.05,Tetraferriannite,brown,2.5-3,Vitreous - Adamantine,,
3.05,Tremolite,brown,5-6,Vitreous - Pearly,,
3.05,Wulfingite,colorless,3,Waxy,,
3.05,Yuksporite,"pink, brown",4.5-5,Vitreous (Glassy),,
3.06,Znucalite,white,-,Silky,,
3.06,Bonshtedtite,colorless,4,Vitreous (Glassy),,
3.06,Boralsilite !,white,-,Vitreous (Glassy),,
3.06,Christelite !,"blue, greenish",2-3,Vitreous (Glassy),,
3.06,Ferrokentbrooksite !,"brown, reddish",5-6,Vitreous (Glassy),,
3.06,Hauckite,"orange, bright",2-3,Vitreous - Pearly,,
3.06,Mikasaite,white,2,Earthy (Dull),,
3.06,Pennantite,"red, orange",2-3,Pearly,,
3.06,Sellaite,colorless,5-6,Vitreous - Greasy,,
3.06,Wadalite,colorless,-,Vitreous (Glassy),,
3.06,Inesite,brown,6,Vitreous (Glassy),,
3.07,Banalsite,white,6,Vitreous - Pearly,,
3.07,Crawfordite,colorless,3,Vitreous (Glassy),,
3.07,Nagelschmidtite,brown,-,Vitreous (Glassy),,
3.07,Nasledovite,"white, snow",2,Silky,,
3.07,Ellestadite-(Cl),colorless,4.5,Vitreous (Glassy),,
3.07,Friedelite,brown,4-5,Vitreous (Glassy),,
3.07,Kellyite,"yellow, golden",2.5,Vitreous - Resinous,,
3.07,Manganocummingtonite,brownish,6-6.5,Vitreous (Glassy),,
3.07,Parasymplesite,"blue, greenish",2,Silky,,
3.07,Parvowinchite,"yellow, straw",5-6,Vitreous (Glassy),,
3.07,Polyphite-VII,brown,5,Vitreous - Resinous,,
3.07,Polyphite-VIII,brown,5,Vitreous - Resinous,,
3.07,Rodolicoite !,brown,-,Greasy (Oily),,
3.07,Serpierite,"blue, sky",3.5-4,Vitreous - Pearly,,
3.08,Glaucophane,gray,6-6.5,Vitreous - Pearly,,
3.08,Apatite-(CaOH),colorless,5,Vitreous - Dull,,
3.08,Cuprorivaite,blue,5,Vitreous (Glassy),,
3.08,Cyrilovite,yellow,4,Vitreous (Glassy),,
3.08,Ekanite,green,4.5,Vitreous (Glassy),,
3.08,Eosphorite,"pink, light",5,Vitreous - Resinous,,
3.08,Messelite,colorless,3.5,Vitreous - Pearly,,
3.08,Potassiccarpholite !,white,5,Silky,,
3.08,Trabzonite,colorless,-,Vitreous (Glassy),,
3.09,Eckermannite,"green, blue",5-6,Vitreous (Glassy),,
3.09,Kentbrooksite !,"brown, yellowish",5-6,Vitreous (Glassy),,
3.09,Souzalite,"green, blue",5.5-6,Vitreous (Glassy),,
3.09,Dravite !,black,7-7.5,Vitreous - Resinous,,
3.09,Ferrobustamite,green,6,Vitreous (Glassy),,
3.09,Fluoro-magnesio-arfvedsonite !,"gray, light",5.5,Vitreous (Glassy),,
3.09,Irhtemite,colorless,-,Silky,,
3.09,Lawsonite,colorless,7.5,Vitreous - Greasy,,
3.09,Richterite,blue,6,Vitreous (Glassy),,
3.09,Trembathite,colorless,6-8,Vitreous (Glassy),,
3.09,Trolleite,"blue, light",5.5-6,Vitreous (Glassy),,
3.09,Yaroslavite,white,4.5,Vitreous (Glassy),,
3.09,Zeravshanite !,colorless,6,Vitreous (Glassy),,
3.10,Holmquistite,blue,5.5,Vitreous (Glassy),,
3.10,Biotite *,"brown, dark",2.5-3,Vitreous - Pearly,,
3.10,Jarosite,brown,2.5-3.5,Vitreous (Glassy),,
3.10,Natrojarosite,yellow,2.5-3.5,Vitreous (Glassy),,
3.10,Alumoklyuchevskite,"green, dark",2,Vitreous (Glassy),,
3.10,Bertossaite,"pink, light",6,Vitreous (Glassy),,
3.10,Blakeite,brown,2-3,Earthy (Dull),,
3.10,Camerolaite,"green, blue",-,Silky,,
3.10,Cassidyite,green,3.5,Vitreous (Glassy),,
3.10,Chalcosiderite,"green, apple",4.5,Vitreous (Glassy),,
3.10,Cyanophyllite,"blue, greenish",2,Silky - Pearly,,
3.10,Delrioite,"brown, yellow",2,Vitreous - Pearly,,
3.10,Fairfieldite,"white, greenish",3.5,Vitreous - Pearly,,
3.10,Phosphophyllite,"green, blue",3-3.5,Vitreous (Glassy),,
3.10,Rancieite,"brown, violet",2.5-3,Metallic - Dull,,
3.10,Reddingite,white,3.5,Vitreous - Resinous,,
3.10,Spangolite,"green, blue",2.5-3,Vitreous (Glassy),,
3.10,Takedaite,white,4.5,Vitreous (Glassy),,
3.11,Haiweeite,"yellow, greenish",3.5,Pearly,,
3.11,Wagnerite,greenish,5-5.5,Vitreous (Glassy),,
3.11,Erlianite,black,3.5,Silky,,
3.11,Gladiusite !,"green, dark",4-4.5,Vitreous (Glassy),,
3.11,Leakeite,"red, dark",6,Vitreous (Glassy),,
3.11,Nanpingite,white,2.5-3,Vitreous - Pearly,,
3.11,Saryarkite-(Y),white,3.5-4,Greasy (Oily),,
3.11,Scholzite,colorless,4,Vitreous (Glassy),,
3.11,Kutnohorite,white,3.5-4,Vitreous - Dull,,
3.12,Devilline,blue,2.5,Vitreous - Pearly,,
3.12,Wadeite,colorless,5.5-6,Adamantine,,
3.12,Arctite,colorless,5,Vitreous - Pearly,,
3.12,Carbonate-fluorapatite ?,colorless,5,Vitreous - Resinous,,
3.12,Erythrite,colorless,1.5-2,Pearly,,
3.12,Mccrillisite,colorless,4.5,Vitreous (Glassy),,
3.12,Mcguinnessite,"green, blue",2.5,Vitreous - Silky,,
3.12,Nyboite,blue,6,Vitreous (Glassy),,
3.12,Paranatisite,yellow,5,Vitreous - Adamantine,,
3.12,Parascholzite,colorless,4,Vitreous (Glassy),,
3.12,Quadruphite-VII,brown,5,Vitreous - Resinous,,
3.12,Quadruphite-VIII,brown,5,Vitreous - Resinous,,
3.12,Sidwillite,yellow,2.5,Resinous,,
3.12,Spencerite,white,3,Vitreous - Pearly,,
3.12,Sussexite,white,3,Pearly,,
3.12,Tengerite-(Y),white,-,Vitreous - Dull,,
3.13,Orthochamosite !,green,2,Pearly,,
3.13,Pargasite,"green, bluish",6,Vitreous (Glassy),,
3.13,Pyrosmalite-(Fe),green blackish,4.5,Vitreous (Glassy),,
3.13,Pyrosmalite-(Mn),green blackish,4.5,Vitreous (Glassy),,
3.13,Fluorite,white,4,Vitreous (Glassy),,
3.13,Gormanite,"green, blue",4-5,Vitreous (Glassy),,
3.13,Hibschite,colorless,6.5,Vitreous (Glassy),,
3.13,Hydroxylclinohumite !,"orange, yellow",6.5,Vitreous - Dull,,
3.13,Magnesiocummingtonite,brown,5-6,Silky,,
3.13,Manganokhomyakovite !,orange,5-6,Vitreous (Glassy),,
3.13,Moydite-(Y),yellow,1-2,Vitreous (Glassy),,
3.13,Seamanite,yellow,4,Vitreous (Glassy),,
3.13,Shabaite-(Nd),"yellow, pale greenish",2.5,Pearly,,
3.13,Vuonnemite,"yellow, light",2-3,Vitreous - Greasy,,
3.13,Whitlockite,colorless,5,Vitreous - Resinous,,
3.13,Widgiemoolthalite,"green, blue",3.5,Silky,,
3.14,Ferroglaucophane,blue,6,Vitreous - Dull,,
3.14,Lomonosovite,"brown, dark",3-4,Vitreous - Adamantine,,
3.14,Carbokentbrooksite !,yellow,5,Vitreous (Glassy),,
3.14,Chernykhite,"green, dark",3-4,Vitreous (Glassy),,
3.14,Krauskopfite,colorless,4,Vitreous - Pearly,,
3.14,Mahnertite !,blue,2-3,Vitreous (Glassy),,
3.14,Semenovite,brown,3.5-4,Vitreous (Glassy),,
3.14,Vladimirite,colorless,3.5,Vitreous (Glassy),,
3.15,Zussmanite,"green, light",-,Vitreous (Glassy),,
3.15,Hainite,"yellow, honey",5,Adamantine,,
3.15,Mongolite,"lilac, gray",2,Silky,,
3.15,Andalusite,"green, dark",6.5-7,Vitreous (Glassy),,
3.15,Barnesite,"red, brown",-,Adamantine,,
3.15,Davreuxite,"white, cream",2-3,Silky,,
3.15,Hydroastrophyllite,"brown, dark",3-4,Vitreous - Adamantine,,
3.15,Ludlamite,"green, apple",3.5,Vitreous (Glassy),,
3.15,Merwinite,colorless,6,Vitreous (Glassy),,
3.15,Natisite,"gray, greenish",3-4,Vitreous - Adamantine,,
3.15,Skorpionite !,white,-,Vitreous (Glassy),,
3.15,Sodic-ferripedrizite !,green,6,Vitreous (Glassy),,
3.15,Stanfieldite,"brown, yellow",4-5,Vitreous (Glassy),,
3.15,Tuliokite,"brown, light",3-4,Vitreous (Glassy),,
3.15,Zirsilite-(Ce) !,cream,5,Vitreous (Glassy),,
3.15,Apatite-(CaCl),white,5,Vitreous - Dull,,
3.15,Apatite-(CaF),blue,5,Vitreous - Resinous,,
3.15,Autunite,yellow,2-2.5,Vitreous - Pearly,,
3.15,Chondrodite,yellow,6-6.5,Vitreous - Greasy,,
3.15,Humite,brown,6-6.5,Vitreous (Glassy),,
3.15,Norbergite,white,6-6.5,Vitreous - Resinous,,
3.15,Schorl !,black,7.5,Vitreous (Glassy),,
3.15,Spodumene,"white, grayish",6.5-7,Vitreous (Glassy),,
3.15,Tyrolite,blue,1.5-2,Vitreous - Pearly,,
3.15,Uvite !,"brown, yellowish",7.5,Vitreous - Greasy,,
3.15,Viitaniemiite,colorless,5,Vitreous (Glassy),,
3.16,Cahnite,colorless,3,Vitreous (Glassy),,
3.16,Crossite ?,blue,6,Vitreous (Glassy),,
3.16,Garyansellite,brown,4,Vitreous (Glassy),,
3.16,Harstigite,colorless,5.5,Vitreous (Glassy),,
3.16,Hillite !,colorless,3.5,Vitreous - Pearly,,
3.16,Kinoite,"blue, azure",5,Vitreous (Glassy),,
3.16,Niksergievite !,"white, light greenish",1-1.5,Pearly,,
3.17,Gotzenite,colorless,5.5-6,Vitreous - Greasy,,
3.17,Brindleyite,"green, yellow",2.5-3,Vitreous - Pearly,,
3.17,Foitite !,"black, bluish",7,Vitreous (Glassy),,
3.17,Lourenswalsite,"gray, brownish",-,Pearly,,
3.17,Magnesio-arfvedsonite,black,5-6,Vitreous (Glassy),,
3.17,Robertsite,"red, blood",3.5,Adamantine,,
3.17,Serrabrancaite !,"brown, dark",3.5,Adamantine,,
3.18,Muskoxite,"brown, dark reddish",3,Vitreous (Glassy),,
3.18,Nierite,colorless,9,Adamantine,,
3.18,Baileychlore,"green, yellow",2.5-3,Pearly,,
3.18,Cualstibite,"green, blue",2,Vitreous (Glassy),,
3.18,Fluoropargasite !,black,6,Vitreous (Glassy),,
3.18,Hureaulite,red,5,Vitreous - Greasy,,
3.18,Kambaldaite,"green, light",3,Vitreous (Glassy),,
3.18,Zn-Schulenbergite !,white,1-2,Pearly,,
3.19,Ellenbergerite,colorless,6.5,Vitreous (Glassy),,
3.19,Ferri-clinoholmquistite !,black,6,Vitreous (Glassy),,
3.19,Holdawayite,pink,3,Vitreous (Glassy),,
3.19,Kamphaugite-(Y),brown,2-3,Vitreous (Glassy),,
3.19,Magnesioriebeckite,"blue, light",5,Vitreous - Silky,,
3.19,Nchwaningite,"brown, light",5.5,Vitreous (Glassy),,
3.19,Apatite *,white,5,Vitreous (Glassy),,
3.19,Kosnarite,colorless,4.5,Vitreous (Glassy),,
3.20,Gunningite,white,2.5,Vitreous (Glassy),,
3.20,Vayrynenite,pink,5,Vitreous (Glassy),,
3.20,Attikaite !,"blue, light",2-2.5,Vitreous (Glassy),,
3.20,Chamosite,gray,3,Vitreous - Dull,,
3.20,Enstatite,white,5.5,Vitreous - Pearly,,
3.20,Johnsenite-(Ce) !,"yellow, pale",5-6,Vitreous (Glassy),,
3.20,Kalistrontite,colorless,2,Vitreous (Glassy),,
3.20,Monticellite,colorless,5,Vitreous (Glassy),,
3.20,Oneillite !,"brown, yellowish",5-6,Vitreous (Glassy),,
3.20,Pumpellyite-(Fe++),"green, blue",5.5,Vitreous (Glassy),,
3.20,Pumpellyite-(Fe+++),"green, blue",5.5,Vitreous (Glassy),,
3.20,Pumpellyite-(Mg),"green, blue",5.5,Vitreous (Glassy),,
3.20,Pumpellyite-(Mn++),"green, blue",5.5,Vitreous (Glassy),,
